order_id,time_of_day,traffic_condition,traffic_delay
2169,Afternoon,Low,5
2170,Afternoon,Medium,10
2171,Evening,High,30
2172,Morning,High,15
2173,Afternoon,Low,5
2174,Evening,High,30
2175,Morning,High,15
2176,Afternoon,Medium,10
2177,Morning,Low,5
2178,Morning,High,15
2179,Afternoon,Medium,10
2180,Afternoon,Low,5
2181,Morning,High,15
2182,Afternoon,Low,5
2183,Evening,Medium,20
2184,Evening,Medium,20
2185,Morning,Low,5
2186,Afternoon,Low,5
2187,Evening,High,30
2188,Afternoon,Medium,10
2189,Evening,High,30
2190,Morning,Low,5
2191,Afternoon,Medium,10
2192,Afternoon,Low,5
2193,Evening,Medium,20
2194,Afternoon,Low,5
2195,Afternoon,Low,5
2196,Morning,Medium,10
2197,Afternoon,Low,5
2198,Afternoon,Medium,10
2199,Morning,High,15
2200,Morning,Low,5
2201,Evening,Medium,20
2202,Morning,Medium,10
2203,Morning,Low,5
2204,Morning,Low,5
2205,Afternoon,Low,5
2206,Afternoon,Medium,10
2207,Evening,Medium,20
2208,Afternoon,Low,5
2209,Morning,High,15
2210,Afternoon,Low,5
2211,Evening,Medium,20
2212,Afternoon,Low,5
2213,Morning,Medium,10
2214,Morning,Medium,10
2215,Evening,High,30
2216,Morning,Low,5
2217,Afternoon,Medium,10
2218,Afternoon,Low,5
2219,Morning,Low,5
2220,Afternoon,Low,5
2221,Morning,Medium,10
2222,Evening,Low,10
2223,Evening,High,30
2224,Afternoon,Low,5
2225,Evening,Medium,20
2226,Evening,Low,10
2227,Evening,Medium,20
2228,Afternoon,Low,5
2229,Evening,High,30
2230,Morning,Low,5
2231,Afternoon,Low,5
2232,Afternoon,Low,5
2233,Afternoon,Low,5
2234,Afternoon,Low,5
2235,Afternoon,Low,5
2236,Afternoon,Low,5
2237,Afternoon,Low,5
2238,Evening,High,30
2239,Morning,High,15
2240,Evening,Medium,20
2241,Evening,High,30
2242,Morning,Low,5
2243,Morning,Low,5
2244,Afternoon,Medium,10
2245,Evening,Medium,20
2246,Afternoon,Low,5
2247,Afternoon,Low,5
2248,Afternoon,Low,5
2249,Afternoon,Low,5
2250,Evening,High,30
2251,Afternoon,Low,5
2252,Afternoon,Low,5
2253,Afternoon,Low,5
2254,Morning,Low,5
2255,Morning,Low,5
2256,Evening,Medium,20
2257,Afternoon,Low,5
2258,Morning,Medium,10
2259,Evening,Medium,20
2260,Afternoon,Medium,10
2261,Morning,Medium,10
2262,Afternoon,Low,5
2263,Morning,Low,5
2264,Evening,High,30
2265,Afternoon,Medium,10
2266,Afternoon,Low,5
2267,Evening,High,30
2268,Morning,High,15
2269,Afternoon,Low,5
2270,Morning,Medium,10
2271,Morning,Medium,10
2272,Evening,High,30
2273,Morning,Low,5
2274,Evening,High,30
2275,Afternoon,Medium,10
2276,Afternoon,Medium,10
2277,Morning,Medium,10
2278,Morning,Medium,10
2279,Morning,Low,5
2280,Evening,High,30
2281,Afternoon,Low,5
2282,Evening,Medium,20
2283,Afternoon,Low,5
2284,Afternoon,Low,5
2285,Morning,Low,5
2286,Afternoon,Low,5
2287,Afternoon,Low,5
2288,Morning,Low,5
2289,Evening,High,30
2290,Afternoon,Low,5
2291,Evening,Low,10
2292,Afternoon,Low,5
2293,Afternoon,Low,5
2294,Afternoon,Low,5
2295,Evening,Medium,20
2296,Afternoon,Low,5
2297,Afternoon,Low,5
2298,Afternoon,Medium,10
2299,Morning,Low,5
2300,Afternoon,Low,5
2301,Morning,Medium,10
2302,Afternoon,Low,5
2303,Afternoon,Medium,10
2304,Evening,Low,10
2305,Afternoon,Low,5
2306,Morning,High,15
2307,Evening,Medium,20
2308,Morning,Low,5
2309,Afternoon,Low,5
2310,Morning,High,15
2311,Evening,Medium,20
2312,Afternoon,Low,5
2313,Afternoon,Low,5
2314,Afternoon,Low,5
2315,Afternoon,Low,5
2316,Afternoon,Medium,10
2317,Afternoon,Low,5
2318,Morning,Low,5
2319,Morning,Medium,10
2320,Evening,High,30
2321,Afternoon,Medium,10
2322,Morning,Medium,10
2323,Afternoon,Low,5
2324,Evening,Medium,20
2325,Morning,Low,5
2326,Evening,Low,10
2327,Afternoon,Medium,10
2328,Evening,High,30
2329,Afternoon,Medium,10
2330,Afternoon,Medium,10
2331,Afternoon,Low,5
2332,Afternoon,Medium,10
2333,Morning,Medium,10
2334,Evening,Medium,20
2335,Morning,High,15
2336,Morning,Low,5
2337,Afternoon,Low,5
2338,Evening,High,30
2339,Afternoon,Low,5
2340,Evening,Medium,20
2341,Evening,Low,10
2342,Evening,Medium,20
2343,Afternoon,Low,5
2344,Afternoon,Low,5
2345,Morning,Low,5
2346,Evening,High,30
2347,Afternoon,Medium,10
2348,Morning,High,15
2349,Morning,High,15
2350,Evening,High,30
2351,Afternoon,Low,5
2352,Morning,Medium,10
2353,Evening,Low,10
2354,Afternoon,Low,5
2355,Afternoon,Low,5
2356,Afternoon,Medium,10
2357,Afternoon,Low,5
2358,Morning,High,15
2359,Afternoon,Low,5
2360,Evening,High,30
2361,Morning,Medium,10
2362,Morning,Low,5
2363,Morning,Low,5
2364,Afternoon,Low,5
2365,Afternoon,Low,5
2366,Evening,Low,10
2367,Afternoon,Medium,10
2368,Morning,Medium,10
2369,Afternoon,Low,5
2370,Afternoon,Low,5
2371,Evening,Medium,20
2372,Afternoon,Medium,10
2373,Afternoon,Low,5
2374,Evening,High,30
2375,Evening,High,30
2376,Afternoon,Low,5
2377,Evening,Low,10
2378,Evening,Medium,20
2379,Morning,Medium,10
2380,Evening,Low,10
2381,Afternoon,Low,5
2382,Morning,Medium,10
2383,Afternoon,Medium,10
2384,Evening,Medium,20
2385,Afternoon,Medium,10
2386,Afternoon,Low,5
2387,Afternoon,Low,5
2388,Afternoon,Low,5
2389,Afternoon,Medium,10
2390,Morning,High,15
2391,Morning,Low,5
2392,Afternoon,Medium,10
2393,Evening,Medium,20
2394,Evening,Medium,20
2395,Afternoon,Low,5
2396,Afternoon,Low,5
2397,Evening,High,30
2398,Afternoon,Low,5
2399,Afternoon,Low,5
2400,Afternoon,Low,5
2401,Afternoon,Medium,10
2402,Evening,Medium,20
2403,Evening,High,30
2404,Afternoon,Low,5
2405,Evening,Medium,20
2406,Evening,Medium,20
2407,Morning,Low,5
2408,Evening,Medium,20
2409,Morning,Medium,10
2410,Afternoon,Medium,10
2411,Afternoon,Medium,10
2412,Afternoon,Medium,10
2413,Afternoon,Low,5
2414,Afternoon,Low,5
2415,Evening,Low,10
2416,Afternoon,Low,5
2417,Morning,Medium,10
2418,Morning,Low,5
2419,Afternoon,Low,5
2420,Morning,Low,5
2421,Afternoon,Low,5
2422,Evening,High,30
2423,Evening,High,30
2424,Afternoon,Low,5
2425,Afternoon,Low,5
2426,Evening,High,30
2427,Evening,Low,10
2428,Afternoon,Medium,10
2429,Afternoon,Low,5
2430,Morning,High,15
2431,Afternoon,Medium,10
2432,Afternoon,Low,5
2433,Morning,Low,5
2434,Morning,High,15
2435,Afternoon,Low,5
2436,Afternoon,Low,5
2437,Afternoon,Medium,10
2438,Afternoon,Low,5
2439,Morning,Low,5
2440,Afternoon,Low,5
2441,Afternoon,Low,5
2442,Evening,High,30
2443,Evening,Medium,20
2444,Afternoon,Low,5
2445,Afternoon,Low,5
2446,Afternoon,Low,5
2447,Afternoon,Medium,10
2448,Afternoon,Low,5
2449,Evening,Medium,20
2450,Afternoon,Low,5
2451,Morning,High,15
2452,Evening,High,30
2453,Morning,Medium,10
2454,Morning,High,15
2455,Morning,Low,5
2456,Afternoon,Low,5
2457,Evening,Medium,20
2458,Morning,High,15
2459,Afternoon,Low,5
2460,Evening,High,30
2461,Morning,High,15
2462,Afternoon,Low,5
2463,Evening,High,30
2464,Afternoon,Low,5
2465,Afternoon,Low,5
2466,Evening,High,30
2467,Morning,Low,5
2468,Afternoon,Low,5
2469,Afternoon,Low,5
2470,Evening,High,30
2471,Evening,Medium,20
2472,Evening,Low,10
2473,Evening,Medium,20
2474,Afternoon,Low,5
2475,Evening,High,30
2476,Morning,Medium,10
2477,Morning,Medium,10
2478,Evening,Medium,20
2479,Morning,Medium,10
2480,Afternoon,Low,5
2481,Evening,High,30
2482,Evening,Medium,20
2483,Morning,Medium,10
2484,Evening,High,30
2485,Morning,Low,5
2486,Evening,Medium,20
2487,Morning,High,15
2488,Afternoon,Low,5
2489,Evening,Medium,20
2490,Evening,Low,10
2491,Evening,High,30
2492,Evening,Low,10
2493,Morning,Medium,10
2494,Morning,Low,5
2495,Afternoon,Low,5
2496,Afternoon,Medium,10
2497,Evening,Low,10
2498,Morning,Medium,10
2499,Morning,Medium,10
2500,Afternoon,Low,5
2501,Morning,Low,5
2502,Evening,Medium,20
2503,Afternoon,Low,5
2504,Afternoon,Low,5
2505,Morning,Medium,10
2506,Morning,Low,5
2507,Afternoon,Low,5
2508,Morning,High,15
2509,Evening,Medium,20
2510,Morning,High,15
2511,Evening,Medium,20
2512,Evening,Medium,20
2513,Evening,High,30
2514,Afternoon,Low,5
2515,Evening,Medium,20
2516,Morning,Medium,10
2517,Evening,High,30
2518,Afternoon,Low,5
2519,Afternoon,Low,5
2520,Evening,Low,10
2521,Afternoon,Low,5
2522,Morning,Low,5
2523,Morning,Low,5
2524,Afternoon,Low,5
2525,Afternoon,Low,5
2526,Evening,High,30
2527,Evening,High,30
2528,Morning,Low,5
2529,Morning,Low,5
2530,Evening,Low,10
2531,Evening,Medium,20
2532,Afternoon,Low,5
2533,Afternoon,Low,5
2534,Morning,High,15
2535,Afternoon,Medium,10
2536,Evening,Medium,20
2537,Evening,High,30
2538,Afternoon,Medium,10
2539,Morning,Medium,10
2540,Evening,High,30
2541,Afternoon,Low,5
2542,Afternoon,Low,5
2543,Afternoon,Medium,10
2544,Evening,High,30
2545,Afternoon,Low,5
2546,Evening,Low,10
2547,Morning,Medium,10
2548,Morning,High,15
2549,Morning,Low,5
2550,Afternoon,Low,5
2551,Evening,Low,10
2552,Evening,Medium,20
2553,Morning,High,15
2554,Evening,High,30
2555,Morning,Medium,10
2556,Afternoon,Low,5
2557,Morning,Low,5
2558,Afternoon,Low,5
2559,Afternoon,Low,5
2560,Evening,High,30
2561,Afternoon,Medium,10
2562,Afternoon,Medium,10
2563,Evening,High,30
2564,Morning,Low,5
2565,Afternoon,Low,5
2566,Afternoon,Low,5
2567,Evening,Medium,20
2568,Evening,High,30
2569,Afternoon,Low,5
2570,Morning,High,15
2571,Afternoon,Low,5
2572,Afternoon,Medium,10
2573,Evening,High,30
2574,Afternoon,Low,5
2575,Afternoon,Low,5
2576,Evening,Low,10
2577,Morning,Low,5
2578,Afternoon,Low,5
2579,Morning,Low,5
2580,Afternoon,Low,5
2581,Afternoon,Medium,10
2582,Afternoon,Low,5
2583,Afternoon,Low,5
2584,Morning,Low,5
2585,Morning,Low,5
2586,Morning,Medium,10
2587,Morning,Low,5
2588,Morning,Medium,10
2589,Afternoon,Low,5
2590,Evening,Low,10
2591,Morning,Medium,10
2592,Afternoon,Low,5
2593,Morning,Medium,10
2594,Afternoon,Low,5
2595,Morning,Low,5
2596,Afternoon,Low,5
2597,Evening,Medium,20
2598,Afternoon,Low,5
2599,Evening,Low,10
2600,Morning,High,15
2601,Afternoon,Low,5
2602,Evening,High,30
2603,Afternoon,Medium,10
2604,Afternoon,Low,5
2605,Evening,Medium,20
2606,Morning,Low,5
2607,Morning,High,15
2608,Afternoon,Medium,10
2609,Evening,High,30
2610,Morning,Medium,10
2611,Afternoon,Low,5
2612,Evening,Low,10
2613,Evening,Medium,20
2614,Afternoon,Low,5
2615,Afternoon,Medium,10
2616,Morning,High,15
2617,Morning,Low,5
2618,Evening,Medium,20
2619,Afternoon,Low,5
2620,Morning,High,15
2621,Evening,High,30
2622,Afternoon,Low,5
2623,Evening,Medium,20
2624,Evening,Medium,20
2625,Morning,Low,5
2626,Evening,High,30
2627,Afternoon,Low,5
2628,Evening,Medium,20
2629,Afternoon,Low,5
2630,Morning,High,15
2631,Evening,Low,10
2632,Evening,High,30
2633,Evening,Medium,20
2634,Morning,Low,5
2635,Morning,Medium,10
2636,Afternoon,Low,5
2637,Evening,Medium,20
2638,Morning,Low,5
2639,Morning,High,15
2640,Morning,High,15
2641,Afternoon,Low,5
2642,Morning,Medium,10
2643,Morning,Low,5
2644,Evening,High,30
2645,Afternoon,Low,5
2646,Morning,Medium,10
2647,Afternoon,Low,5
2648,Evening,Low,10
2649,Afternoon,Medium,10
2650,Afternoon,Low,5
2651,Evening,High,30
2652,Morning,High,15
2653,Evening,High,30
2654,Afternoon,Low,5
2655,Afternoon,Medium,10
2656,Evening,Medium,20
2657,Afternoon,Low,5
2658,Evening,Medium,20
2659,Evening,Low,10
2660,Afternoon,Low,5
2661,Afternoon,Low,5
2662,Afternoon,Low,5
2663,Afternoon,Low,5
2664,Morning,High,15
2665,Morning,High,15
2666,Evening,Medium,20
2667,Evening,Medium,20
2668,Morning,Low,5
2669,Morning,High,15
2670,Afternoon,Low,5
2671,Evening,High,30
2672,Afternoon,Low,5
2673,Morning,Medium,10
2674,Morning,Medium,10
2675,Morning,Low,5
2676,Afternoon,Medium,10
2677,Afternoon,Medium,10
2678,Morning,Low,5
2679,Morning,Low,5
2680,Evening,Low,10
2681,Evening,Low,10
2682,Morning,Low,5
2683,Evening,High,30
2684,Afternoon,Medium,10
2685,Evening,Medium,20
2686,Evening,High,30
2687,Morning,Low,5
2688,Evening,High,30
2689,Evening,Medium,20
2690,Morning,Low,5
2691,Morning,Medium,10
2692,Evening,Low,10
2693,Evening,Medium,20
2694,Evening,Low,10
2695,Evening,High,30
2696,Afternoon,Low,5
2697,Morning,Medium,10
2698,Evening,High,30
2699,Afternoon,Low,5
2700,Morning,High,15
2701,Afternoon,Low,5
2702,Afternoon,Low,5
2703,Morning,Low,5
2704,Evening,Medium,20
2705,Morning,Medium,10
2706,Afternoon,Low,5
2707,Morning,Medium,10
2708,Afternoon,Low,5
2709,Afternoon,Low,5
2710,Afternoon,Medium,10
2711,Morning,Low,5
2712,Evening,High,30
2713,Morning,Low,5
2714,Afternoon,Low,5
2715,Afternoon,Low,5
2716,Morning,High,15
2717,Morning,Low,5
2718,Morning,Low,5
2719,Evening,Medium,20
2720,Afternoon,Low,5
2721,Evening,Low,10
2722,Morning,High,15
2723,Evening,Medium,20
2724,Evening,Medium,20
2725,Afternoon,Low,5
2726,Morning,Low,5
2727,Morning,Low,5
2728,Afternoon,Low,5
2729,Afternoon,Low,5
2730,Afternoon,Low,5
2731,Evening,Low,10
2732,Afternoon,Low,5
2733,Morning,Low,5
2734,Morning,Low,5
2735,Evening,High,30
2736,Morning,Low,5
2737,Morning,Medium,10
2738,Evening,Medium,20
2739,Afternoon,Medium,10
2740,Evening,Low,10
2741,Morning,Low,5
2742,Morning,Medium,10
2743,Evening,Low,10
2744,Morning,Medium,10
2745,Morning,High,15
2746,Morning,Medium,10
2747,Afternoon,Low,5
2748,Afternoon,Low,5
2749,Morning,Low,5
2750,Evening,Medium,20
2751,Morning,Low,5
2752,Afternoon,Low,5
2753,Afternoon,Medium,10
2754,Evening,Medium,20
2755,Evening,Low,10
2756,Morning,Low,5
2757,Afternoon,Low,5
2758,Morning,Low,5
2759,Morning,Low,5
2760,Evening,Low,10
2761,Morning,Medium,10
2762,Evening,High,30
2763,Evening,Low,10
2764,Evening,Medium,20
2765,Morning,High,15
2766,Evening,High,30
2767,Evening,High,30
2768,Afternoon,Low,5
2769,Afternoon,Low,5
2770,Morning,High,15
2771,Morning,Low,5
2772,Afternoon,Medium,10
2773,Evening,High,30
2774,Evening,High,30
2775,Evening,Low,10
2776,Afternoon,Medium,10
2777,Afternoon,Low,5
2778,Morning,Low,5
2779,Afternoon,Medium,10
2780,Evening,High,30
2781,Afternoon,Low,5
2782,Afternoon,Medium,10
2783,Morning,Low,5
2784,Evening,Low,10
2785,Morning,Medium,10
2786,Afternoon,Low,5
2787,Afternoon,Low,5
2788,Afternoon,Medium,10
2789,Morning,Low,5
2790,Evening,Medium,20
2791,Afternoon,Low,5
2792,Morning,Low,5
2793,Evening,High,30
2794,Evening,Medium,20
2795,Evening,Medium,20
2796,Evening,High,30
2797,Evening,Low,10
2798,Morning,Low,5
2799,Afternoon,Low,5
2800,Morning,High,15
2801,Afternoon,Medium,10
2802,Morning,Low,5
2803,Afternoon,Medium,10
2804,Afternoon,Low,5
2805,Afternoon,Medium,10
2806,Morning,Medium,10
2807,Afternoon,Low,5
2808,Evening,Medium,20
2809,Afternoon,Low,5
2810,Morning,Low,5
2811,Afternoon,Low,5
2812,Afternoon,Low,5
2813,Morning,High,15
2814,Morning,Medium,10
2815,Evening,Medium,20
2816,Afternoon,Low,5
2817,Afternoon,Medium,10
2818,Afternoon,Low,5
2819,Evening,High,30
2820,Afternoon,Low,5
2821,Morning,Low,5
2822,Afternoon,Low,5
2823,Morning,Medium,10
2824,Afternoon,Low,5
2825,Evening,High,30
2826,Afternoon,Low,5
2827,Evening,Medium,20
2828,Morning,High,15
2829,Evening,Medium,20
2830,Evening,Medium,20
2831,Evening,High,30
2832,Morning,Medium,10
2833,Afternoon,Low,5
2834,Evening,Medium,20
2835,Afternoon,Low,5
2836,Afternoon,Low,5
2837,Evening,Medium,20
2838,Morning,High,15
2839,Afternoon,Low,5
2840,Evening,High,30
2841,Morning,Low,5
2842,Afternoon,Low,5
2843,Afternoon,Low,5
2844,Morning,Low,5
2845,Morning,High,15
2846,Evening,High,30
2847,Morning,Medium,10
2848,Morning,Low,5
2849,Afternoon,Low,5
2850,Afternoon,Low,5
2851,Evening,Low,10
2852,Morning,High,15
2853,Morning,Low,5
2854,Afternoon,Medium,10
2855,Morning,Low,5
2856,Morning,Low,5
2857,Morning,Low,5
2858,Morning,Medium,10
2859,Evening,High,30
2860,Morning,Medium,10
2861,Morning,High,15
2862,Afternoon,Low,5
2863,Evening,Medium,20
2864,Afternoon,Medium,10
2865,Evening,Medium,20
2866,Morning,Medium,10
2867,Morning,Medium,10
2868,Afternoon,Low,5
2869,Morning,Medium,10
2870,Morning,Low,5
2871,Afternoon,Medium,10
2872,Evening,High,30
2873,Afternoon,Low,5
2874,Afternoon,Medium,10
2875,Morning,Low,5
2876,Afternoon,Low,5
2877,Morning,Low,5
2878,Evening,High,30
2879,Morning,Low,5
2880,Morning,High,15
2881,Evening,Medium,20
2882,Afternoon,Medium,10
2883,Morning,Low,5
2884,Evening,Low,10
2885,Afternoon,Low,5
2886,Evening,Low,10
2887,Morning,Low,5
2888,Evening,Medium,20
2889,Afternoon,Low,5
2890,Morning,Medium,10
2891,Afternoon,Low,5
2892,Evening,High,30
2893,Afternoon,Medium,10
2894,Afternoon,Low,5
2895,Afternoon,Low,5
2896,Evening,High,30
2897,Afternoon,Low,5
2898,Afternoon,Low,5
2899,Afternoon,Low,5
2900,Afternoon,Low,5
2901,Evening,High,30
2902,Morning,Low,5
2903,Evening,Medium,20
2904,Evening,Medium,20
2905,Morning,Low,5
2906,Afternoon,Medium,10
2907,Morning,Low,5
2908,Afternoon,Low,5
2909,Evening,Medium,20
2910,Evening,High,30
2911,Morning,Low,5
2912,Morning,Medium,10
2913,Morning,Medium,10
2914,Morning,Medium,10
2915,Morning,Low,5
2916,Evening,Medium,20
2917,Evening,Low,10
2918,Evening,High,30
2919,Afternoon,Low,5
2920,Morning,Low,5
2921,Afternoon,Low,5
2922,Afternoon,Low,5
2923,Afternoon,Low,5
2924,Afternoon,Medium,10
2925,Morning,Low,5
2926,Afternoon,Low,5
2927,Afternoon,Medium,10
2928,Evening,Medium,20
2929,Morning,Low,5
2930,Evening,Low,10
2931,Afternoon,Low,5
2932,Evening,Medium,20
2933,Morning,Medium,10
2934,Evening,Medium,20
2935,Morning,High,15
2936,Evening,High,30
2937,Evening,Medium,20
2938,Afternoon,Medium,10
2939,Morning,Medium,10
2940,Afternoon,Low,5
2941,Evening,Low,10
2942,Morning,Medium,10
2943,Evening,Medium,20
2944,Afternoon,Medium,10
2945,Morning,Low,5
2946,Evening,Medium,20
2947,Evening,Medium,20
2948,Afternoon,Low,5
2949,Morning,Medium,10
2950,Morning,Low,5
2951,Morning,High,15
2952,Afternoon,Low,5
2953,Afternoon,Medium,10
2954,Afternoon,Medium,10
2955,Afternoon,Medium,10
2956,Evening,Medium,20
2957,Afternoon,Low,5
2958,Morning,Low,5
2959,Afternoon,Low,5
2960,Afternoon,Low,5
2961,Morning,Medium,10
2962,Evening,Low,10
2963,Evening,Low,10
2964,Evening,High,30
2965,Evening,High,30
2966,Morning,High,15
2967,Afternoon,Low,5
2968,Afternoon,Medium,10
2969,Evening,High,30
2970,Morning,Low,5
2971,Evening,Low,10
2972,Afternoon,Medium,10
2973,Evening,Medium,20
2974,Morning,Low,5
2975,Afternoon,Medium,10
2976,Evening,Low,10
2977,Afternoon,Low,5
2978,Morning,Low,5
2979,Evening,Low,10
2980,Afternoon,Low,5
2981,Evening,Low,10
2982,Afternoon,Low,5
2983,Evening,Medium,20
2984,Morning,Medium,10
2985,Afternoon,Low,5
2986,Morning,Low,5
2987,Morning,Low,5
2988,Morning,Low,5
2989,Afternoon,Low,5
2990,Evening,High,30
2991,Evening,High,30
2992,Afternoon,Low,5
2993,Evening,High,30
2994,Evening,Low,10
2995,Evening,High,30
2996,Morning,Low,5
2997,Evening,Low,10
2998,Afternoon,Low,5
2999,Morning,Low,5
3000,Afternoon,Medium,10
3001,Evening,High,30
3002,Morning,Low,5
3003,Evening,Low,10
3004,Afternoon,Medium,10
3005,Evening,Medium,20
3006,Morning,Low,5
3007,Morning,Low,5
3008,Afternoon,Medium,10
3009,Afternoon,Low,5
3010,Evening,Medium,20
3011,Morning,Low,5
3012,Afternoon,Low,5
3013,Afternoon,Low,5
3014,Afternoon,Low,5
3015,Morning,Low,5
3016,Evening,Medium,20
3017,Evening,Medium,20
3018,Afternoon,Low,5
3019,Morning,Medium,10
3020,Evening,High,30
3021,Afternoon,Low,5
3022,Morning,Medium,10
3023,Evening,High,30
3024,Morning,Low,5
3025,Afternoon,Low,5
3026,Evening,Medium,20
3027,Morning,Medium,10
3028,Afternoon,Low,5
3029,Afternoon,Low,5
3030,Afternoon,Low,5
3031,Evening,Medium,20
3032,Morning,Medium,10
3033,Afternoon,Low,5
3034,Evening,High,30
3035,Evening,High,30
3036,Afternoon,Medium,10
3037,Afternoon,Medium,10
3038,Afternoon,Medium,10
3039,Morning,Medium,10
3040,Evening,Medium,20
3041,Morning,Low,5
3042,Afternoon,Low,5
3043,Afternoon,Low,5
3044,Evening,Medium,20
3045,Afternoon,Low,5
3046,Morning,Low,5
3047,Morning,Low,5
3048,Morning,Low,5
3049,Afternoon,Medium,10
3050,Afternoon,Medium,10
3051,Evening,Medium,20
3052,Afternoon,Low,5
3053,Afternoon,Low,5
3054,Evening,Medium,20
3055,Evening,Low,10
3056,Afternoon,Low,5
3057,Morning,Medium,10
3058,Morning,High,15
3059,Evening,Medium,20
3060,Morning,Medium,10
3061,Evening,High,30
3062,Afternoon,Low,5
3063,Morning,Low,5
3064,Afternoon,Medium,10
3065,Morning,Medium,10
3066,Morning,Low,5
3067,Evening,High,30
3068,Evening,Medium,20
3069,Morning,Low,5
3070,Morning,High,15
3071,Morning,High,15
3072,Morning,Medium,10
3073,Evening,High,30
3074,Morning,High,15
3075,Afternoon,Low,5
3076,Morning,Medium,10
3077,Afternoon,Low,5
3078,Morning,Medium,10
3079,Evening,High,30
3080,Evening,Medium,20
3081,Morning,Low,5
3082,Afternoon,Medium,10
3083,Afternoon,Low,5
3084,Morning,Low,5
3085,Morning,Low,5
3086,Morning,Medium,10
3087,Evening,Medium,20
3088,Evening,High,30
3089,Morning,Medium,10
3090,Evening,Medium,20
3091,Evening,High,30
3092,Morning,Medium,10
3093,Evening,High,30
3094,Morning,Low,5
3095,Morning,Low,5
3096,Morning,Low,5
3097,Morning,High,15
3098,Afternoon,Low,5
3099,Evening,High,30
3100,Evening,Low,10
3101,Morning,High,15
3102,Evening,High,30
3103,Morning,Medium,10
3104,Evening,Low,10
3105,Evening,Medium,20
3106,Afternoon,Low,5
3107,Evening,High,30
3108,Morning,Low,5
3109,Afternoon,Medium,10
3110,Evening,Medium,20
3111,Afternoon,Low,5
3112,Evening,Medium,20
3113,Afternoon,Low,5
3114,Afternoon,Low,5
3115,Afternoon,Low,5
3116,Afternoon,Low,5
3117,Evening,Medium,20
3118,Afternoon,Low,5
3119,Afternoon,Medium,10
3120,Evening,High,30
3121,Evening,High,30
3122,Afternoon,Low,5
3123,Morning,Low,5
3124,Morning,Low,5
3125,Afternoon,Medium,10
3126,Afternoon,Medium,10
3127,Morning,Low,5
3128,Evening,Medium,20
3129,Evening,Medium,20
3130,Afternoon,Low,5
3131,Afternoon,Low,5
3132,Morning,High,15
3133,Morning,Low,5
3134,Morning,Low,5
3135,Morning,Low,5
3136,Afternoon,Low,5
3137,Afternoon,Medium,10
3138,Morning,Medium,10
3139,Evening,High,30
3140,Morning,Medium,10
3141,Afternoon,Low,5
3142,Evening,Low,10
3143,Morning,Low,5
3144,Evening,Low,10
3145,Afternoon,Low,5
3146,Afternoon,Low,5
3147,Morning,Medium,10
3148,Morning,Medium,10
3149,Afternoon,Medium,10
3150,Evening,Low,10
3151,Morning,Low,5
3152,Afternoon,Low,5
3153,Afternoon,Low,5
3154,Morning,Low,5
3155,Evening,Low,10
3156,Evening,Low,10
3157,Morning,Low,5
3158,Afternoon,Medium,10
3159,Afternoon,Low,5
3160,Evening,Medium,20
3161,Morning,Medium,10
3162,Afternoon,Low,5
3163,Morning,Low,5
3164,Evening,Medium,20
3165,Morning,Low,5
3166,Afternoon,Low,5
3167,Evening,Medium,20
3168,Evening,High,30
3169,Morning,Low,5
3170,Morning,Low,5
3171,Morning,Medium,10
3172,Afternoon,Medium,10
3173,Afternoon,Medium,10
3174,Morning,High,15
3175,Morning,Low,5
3176,Evening,High,30
3177,Afternoon,Low,5
3178,Afternoon,Low,5
3179,Evening,Medium,20
3180,Morning,Medium,10
3181,Morning,High,15
3182,Afternoon,Medium,10
3183,Evening,High,30
3184,Morning,Low,5
3185,Afternoon,Low,5
3186,Afternoon,Low,5
3187,Afternoon,Low,5
3188,Morning,High,15
3189,Morning,High,15
3190,Afternoon,Low,5
3191,Afternoon,Low,5
3192,Evening,Low,10
3193,Evening,Medium,20
3194,Afternoon,Low,5
3195,Morning,Medium,10
3196,Afternoon,Medium,10
3197,Evening,Medium,20
3198,Morning,Low,5
3199,Evening,High,30
3200,Afternoon,Low,5
3201,Morning,Low,5
3202,Morning,Low,5
3203,Evening,High,30
3204,Evening,Medium,20
3205,Afternoon,Low,5
3206,Evening,High,30
3207,Afternoon,Low,5
3208,Morning,Medium,10
3209,Evening,Medium,20
3210,Morning,Low,5
3211,Afternoon,Low,5
3212,Morning,Low,5
3213,Morning,High,15
3214,Afternoon,Medium,10
3215,Morning,Low,5
3216,Evening,Medium,20
3217,Afternoon,Low,5
3218,Afternoon,Medium,10
3219,Evening,High,30
3220,Afternoon,Low,5
3221,Morning,Low,5
3222,Afternoon,Low,5
3223,Evening,High,30
3224,Evening,Medium,20
3225,Afternoon,Low,5
3226,Afternoon,Medium,10
3227,Afternoon,Low,5
3228,Evening,High,30
3229,Afternoon,Low,5
3230,Evening,High,30
3231,Afternoon,Medium,10
3232,Afternoon,Medium,10
3233,Evening,Medium,20
3234,Afternoon,Low,5
3235,Evening,Medium,20
3236,Afternoon,Medium,10
3237,Morning,High,15
3238,Afternoon,Low,5
3239,Morning,Low,5
3240,Afternoon,Low,5
3241,Afternoon,Medium,10
3242,Morning,High,15
3243,Morning,Medium,10
3244,Evening,Medium,20
3245,Morning,High,15
3246,Afternoon,Low,5
3247,Afternoon,Low,5
3248,Morning,Low,5
3249,Evening,Low,10
